----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE OPERATOR,0
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,04
DAY,15
TIME,11:24:37,Local Time Zone
PLOT,0,#
HEIGHT,95.5,cm
BARCODE,
LATITUDE,40.2463000,angular degrees
LONGITUDE,-111.6474999,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,PrTN1
PRE_TEST_NOTE_2,PrTN2
PRE_TEST_NOTE_3,PrTN3
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,1,0,Pounds,loadx1
LOAD_Y,1,0,Pounds,loady1
IMU,1,0,Deg,imu1
POT,1,0,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
28.244,230.0,225.71428571428572,23,nan
43.615,229.8,225.5142857142857,23,nan
46.699999999999996,229.6,225.3142857142857,23,nan
49.7,229.39999999999998,225.1142857142857,23,nan
52.701,229.2,224.9142857142857,23,nan
55.701,229.0,224.7142857142857,23,nan
58.699999999999996,228.79999999999998,224.51428571428568,23,nan
61.507,228.59999999999997,224.3142857142857,23,nan
64.192,228.39999999999998,224.1142857142857,23,nan
66.96,228.2,223.91428571428568,23,nan
69.72399999999999,227.99999999999997,223.71428571428567,23,nan
72.484,227.79999999999995,223.51428571428568,23,nan
75.24499999999999,227.59999999999997,223.3142857142857,23,nan
77.80499999999999,227.39999999999998,223.11428571428567,23,nan
80.29799999999999,227.19999999999996,222.91428571428565,23,nan
83.422,226.99999999999994,222.71428571428567,23,nan
85.957,226.79999999999995,222.51428571428568,23,nan
88.489,226.59999999999997,222.31428571428566,23,nan
91.02799999999999,226.39999999999995,222.11428571428564,23,nan
93.55499999999999,226.19999999999993,221.91428571428565,23,nan
96.091,225.99999999999994,221.71428571428567,23,nan
99.2,225.79999999999995,221.51428571428565,23,nan
101.737,225.59999999999994,221.31428571428563,23,nan
104.276,225.39999999999992,221.11428571428564,23,nan
106.821,225.19999999999993,220.91428571428565,23,nan
109.354,224.99999999999994,220.71428571428564,23,nan
111.89299999999999,224.79999999999993,220.51428571428562,23,nan
114.34899999999999,224.5999999999999,220.31428571428563,23,nan
116.80799999999999,224.39999999999992,220.11428571428564,23,nan
119.34599999999999,224.19999999999993,219.91428571428563,23,nan
121.883,223.99999999999991,219.7142857142856,23,nan
124.41899999999998,223.7999999999999,219.51428571428562,23,nan
126.95099999999998,223.5999999999999,219.31428571428563,23,nan
130.034,223.39999999999992,219.11428571428561,23,nan
132.577,223.1999999999999,218.9142857142856,23,nan
135.86399999999998,222.9999999999999,218.7142857142856,23,nan
138.995,222.7999999999999,218.51428571428562,23,nan
141.99299999999997,222.5999999999999,218.3142857142856,23,nan
144.975,222.3999999999999,218.1142857142856,23,nan
147.91,222.19999999999987,217.9142857142856,23,nan
150.993,221.9999999999999,217.7142857142856,23,nan
153.52599999999998,221.7999999999999,217.5142857142856,23,nan
156.061,221.59999999999988,217.31428571428557,23,nan
158.594,221.39999999999986,217.1142857142856,23,nan
161.688,221.19999999999987,216.9142857142856,23,nan
164.11,220.9999999999999,216.71428571428558,23,nan
166.466,220.79999999999987,216.51428571428556,23,nan
169.02299999999997,220.59999999999985,216.31428571428557,23,nan
171.558,220.39999999999986,216.1142857142856,23,nan
